ja	en	zh-tw	zh-cn
嵐が好きな船乗りなんざいねえよ。<br>あのヤロウ、今度ノコノコ来やがったら、あのドテッ腹にたらふく馳走してやるぜ！	"No captain likes stormy weather. If that scalawag comes back, I'll show him who's boss."	"可不會有喜歡暴風的船員喔。
那個傢伙再敢恬不知恥得靠近，
可得讓他走著瞧……！"	"没有船员会喜欢暴风雨的。
那个混蛋，要是下次还敢厚着脸皮过来，
我就对着他那个大肚子暴打一顿……！"
8/8(木)より、「大海の寵愛者」「世界を呑む者」のスキル進化クエストを公開中！	"The Sea-favored and Devourer of Worlds skill quests will be available starting Thurs, Aug. 8!"	8/8（四）開始，將開放「海之寵愛者」、「吞噬世界者」的技能進化任務！	"自8/8（星期四）起，""大海的宠儿""、""吞噬世界者""的技能进化任务登场！"
8/16(金)より、「戦陣を敷く者」「報復する者＋」のスキル進化クエストを公開中！	"The Battlefield Rigger and Avenger+ skill quests will be available starting Fri, Aug. 16!"	8/16（五）開始，將開放「列陣者」、「復仇者＋」的技能進化任務！	"自8/16（星期五）起，""列阵者""、""复仇者+""的技能进化任务登场！"
8/20(火)より、「縛り付ける者」「救い護る者」のスキル進化クエストを公開中！	"The Binder and Savior skill quests will be available starting Tues, Aug. 20!"	8/20（二）開始，將開放「束縛者」、「救護者」的技能進化任務！	"自8/20（星期二）起，""束缚者""、""救护者""的技能进化任务登场！"
8/16(金)より、台東区地域にてゴウリョウのキャラクエストを公開中！	"Ganglie's character quest will be available in the Taito Ward area of the map, starting  Fri,  Aug. 16!"	8/16（五）開始，台東地區將開放剛鬣的角色任務！	自8/16（星期五）起，刚鬣的角色任务在台东区域登场！
8/20(火)より、台東区地域にてベンテンのキャラクエストを公開中！	"Benten's character quest will be available in the Taito Ward area of the map, starting Tues, Aug. 20!"	8/20（二）開始，台東地區將開放弁天的角色任務！	自8/20（星期二）起，弁天的角色任务在台东区域登场！
8/8(木)より、イベント地域にて期間限定イベント「出航！真夏の海洋冒険」を復刻公開中！	"From August 8th, Limited-time event ""Embark! Summer Ocean Adventure"" is now re-released!"	期間限定活動「出航！盛夏的海洋冒險」已於2019年8月8日復刻公開中！	期间限定活动“启航！盛夏的海洋冒险”，已于8月8日复刻登场！
8/31（月）より、召喚ガチャにて期間限定「復刻・出航！真夏の海洋冒険転光召喚」開催中！	"From Aug. 31, Embark! Summer Ocean Adventure Transient Summon is now available for a limited time!"	經典限定「出航！盛夏的海洋冒險 轉光召喚」，已於2020年8月31日復刻公開中！	经典限定“启航！盛夏的海洋冒险 转光召唤”，已于8月31日复刻登场！
8/8(木)より、召喚ガチャにて期間限定「復刻・開帆！黄金の宝船転光召喚」開催中！	"From August 8th, Limited-summon ""Unfurl the Sails! ""A Golden Treasure Ship Transient Summon"" is now re-released!"	經典限定「揚帆！黃金寶船 轉光召喚」已於8月8日復刻公開中！	经典限定“扬帆！黄金宝船 转光召唤”，已于8月8日复刻登场！
以外	Except	除了	除了
AND	AND	AND	AND
OR	OR	OR	OR
9/14（月）より、召喚ガチャにて期間限定「復刻・臨海学校転光召喚その１」「復刻・臨海学校転光召喚その２」を開催中！	"From Sep. 14, Seaside Summer School Transient Summon Sets 1 and 2 are now available for a limited time!"	9/14（一）開始，召喚轉蛋期間限定「復刻・臨海學校轉光召喚 其一」、「復刻・臨海學校轉光召喚 其二」進行中！	自9月14日起，“复刻·海滨夏令营转光召唤之一”“复刻·海滨夏令营转光召唤之二”在召唤扭蛋中限时登场！
9/12（木）より、イベント地域にて期間限定イベント「キミと真夏の臨海学校」を復刻公開中！	"From September 12th, Limited-time event ""Seaside Summer School with You"" is now re-released!"	期間限定活動「與你的盛夏臨海學校」已於2019年9月12日復刻公開中！	期间限定活动“与你共度的海滨夏令营”，已于9月12日复刻登场！
復刻 キミと真夏の臨海学校	Seaside Summer School with You (Re-release)	【復刻】與你的盛夏臨海學校	【复刻】与你共度的海滨夏令营
ガチ儲け！海の家と黄金洞窟	Make a Killing! The Beach House and Andvari Falls	大賺一筆！ 海之家與黃金洞窟	大赚特赚！海之家与黄金洞窟 
現在Lv	Now Lv	等級	等级
強化可能のみ	Pode apenas ser Aprimorada	只能強化	只能强化
装備可能のみ	Pode apenas ser Equipado	只能裝備	只能装备
表示/所持	Ver/Possuído	顯示/持有	显示/持有
チュートリアル	Tutorial	教程	教程
デイリー	Daily	日常	日常
ウィークリー	Semanais	每週	每周
マンスリー	Monthly	每個月	每个月
チーム編成を行う	Perform “Team Formation”	執行“團隊形成”	执行“团队形成”
レベル:requireLv:以上のカードを:value:枚以上所持する	Raise :value: cards to level :requireLv: or above.	持有等級:requireLv:以上的卡片:value:張以上	持有:value:张以上高于等级:requireLv:的卡片
クエスト「:id_quest_name:」をクリアする	"Complete a missão "":id_quest_name:""."	完成任務「:id_quest_name:」	完成任务“:id_quest_name:”
ユーザーランクを:value:以上にする	Raise your User Rank to at least :value:.	將玩家等級提升至:value:以上	将用户等级提高到:value:以上
所持カードの合計レベルを:value:以上にする	Raise the total level of all cards owned to at least :value:.	將持有卡片的等級合計提升至:value:以上	将所持卡片的合计等级提升到:value:以上
アイテム「:id_item_name:」を:value:個以上所持する	Collect :value: or more :id_item_name:(s).	持有道具:「:id_item_name:」:value:個以上	道具“:id_item_name:”持有:value:个以上
うふふ、お寝坊さんなマーチ・ヘア？<br>今の私は吸血鬼。あんまり惰眠を貪ってると、汚れたその血を頂いてしまうわよ？	"My my, a sleepy March Hare. You face a vampire at the moment. Tread carefully; too slow and my fangs might just slip... into that tainted neck of yours."	"呵呵，是睡過頭的三月兔？
現在的我是吸血鬼。要是再貪睡的話，
你那骯髒的血液我就不客氣囉？"	"呵呵，贪睡的三月兔。
现在我是吸血鬼。你要是再睡懒觉，
我就要吸走你那肮脏的血液了哦。"
不思議で幻想的で…まるでウサギ穴に落ちた先。お気楽で楽しそう、ねえジャンバヴァン。……あらそうだった、今回はお留守番だった……。	"Curiouser and curiouser... like what lies at the end of a rabbit hole. Fun and fancy free, is it not, Jambavan? Oh dear, I'd forgotten he wasn't with me."	"不可思議又充滿幻想……宛如掉落兔子洞的另一端。
好像能輕鬆享樂呢，是吧，尚巴望……
這次就讓「鬥爭」好好看家……"	"就像掉进了兔子洞般……神奇又梦幻。
看似轻松又愉快，对吧阎波梵……
啊，对了，他这次留在家里了……"
代神山学園……といったかしら？　ここのお茶とお菓子はとても美味しいのね。<br>テイクアウト、できないかしら……。	"Daikanyama Academy, you say? Their tea and cakes are ever so delicious. I wonder if I might take some home with me."	"是叫做……代神山學園嗎？
這裡的茶跟點心都相當美味呢。
能不能外帶呢……"	"是叫……代神山学园吧？
这里的茶和点心十分美味，
不知道能否外带呢……？"
あらあら、落ち込んでるのマーチ・ヘア。<br>そんな時こそいろんな仮装をしたらどう？<br>姿も心も……ぜーんぶ変えてしまえばいいの。	"Why do your ears droop so, March Hare? Why not choose a new costume, to change up both your body and your soul?"	"哎呀呀，垂頭喪氣的三月兔。
趁這次機會，挑戰各種裝扮如何？
讓外貌還有心靈……全部都煥然一新就好了。"	"哎呀，三月兔很失落啊。
这种时候你要不要尝试一下多彩的变装？
让外貌与心灵……都焕然一新吧。"
今の私は血に飢えた男爵であり、血の伯爵夫人。そしてさすらいの騎士で探偵……。<br>え、盛りすぎ？<br>いいじゃない、たまには……ふんっ。	"I am a blood-starved baron and countess of the blood. A wandering knight and master detec... Hm? Too many, you say? What nonsense; it's Halloween!"	"現在的我是渴望鮮血的男爵、血液的伯爵夫人。
並且也是漂流騎士兼偵探……咦，冠太多名了？
偶爾這樣也不錯吧……呵呵。"	"现在我是渴望鲜血的男爵，是血之伯爵夫人，
还是流浪的骑士加侦探……什么，你说我扮演太多角色了？
偶尔一次无所谓吧……呵呵。"
ちょっとした騒動だけど……とても賑やかね。彼のカボチャは、ただ遊びたかっただけ……そう、カボチャのように甘い甘い夢を見てたのよ。	That was quite the uproar. How fun it was! Those pumpkins merely wanted to play; a dream as sweet as pumpkin pie.	"只是一點小騷動，就挺熱鬧的呢。
他的南瓜只是想稍微玩樂……
對了，我夢見了跟南瓜一樣甜甜的夢哦。"	"虽然出现了一点混乱的场面，不过很热闹呢。
他的南瓜不过是想玩游戏罢了……
对，它们做了个像南瓜般甜美无比的梦。"
犬が狼、騎士が魔王、そして魔王が勇者ですって？　己の役を我儘に替え、まるで夢見るうさぎのようね。いいの、だって黄金色の昼下がりですもの。	"A dog as a wolf, a knight as a Dark Lord, and a Dark Lord as a hero? What a madly indulgent tea party. How lovely. We can all choose our own roles in dreams."	"小狗扮成狼、騎士大人扮成魔王、魔王大人扮成勇者？
任意妄為地改變自己的身分，可真是瘋狂的茶會呢。
很好，這才是夢的世界啊。"	"狗变成了狼，骑士变成了魔王，魔王变成了勇士？
他们肆意改变自己的角色，就像是办了一场疯狂的茶会。
很好，这才称得上是梦中的世界。"
吸血鬼に触れる……それは貴方自身も吸血鬼になることを望む、ということよね？<br>それじゃ、首筋を出して……？<br>ふふっ、冗談よ。	"To touch a vampire... You must desire to become one yourself, yes? Very well, bare your neck. I kid, of course. Tee hee."	"讓吸血鬼觸碰……
那是代表，你自己本身也期望成為吸血鬼嗎？
那就露出你的脖頸……？呵呵，說笑的哦。"	"触碰吸血鬼……
就是说，你也想成为吸血鬼是吗？
那么，把脖子伸出来吧……呵呵，我说笑的。"
ケーキにクッキー、どれもとっても美味しそう。けれど……「私をお食べ」と誘っているのは……貴方……だったりするのかしらね。	"Cakes and cookies are oh, so sweet, but if you were to say Eat Me... I might just partake."	"蛋糕還有餅乾，哪個都看起來好好吃。
可是……提出「吃掉我」的邀請的……
是你……是你對吧。"	"蛋糕和饼干看起来都很美味。
但是……希望被我吃掉的那个……
莫不是……你吧？"
トリックオアトリート！<br>お望みの品はどれかしら？　お菓子？<br>いたずら？　それとも……うふふ……。	Trick or treat! Which would you prefer: A trick? A treat? Or perhaps... Hehe.	"不給糖就搗蛋！
你想要的是什麼呢？點心？
惡作劇？還是說……呵呵呵……"	"不给糖就捣蛋！
你想要什么？糖果？
恶作剧？还是……呵呵……"
"怖ーい夢も、楽しい夢も、夜が明ければさあ、おしまい。
おやすみなさいマーチヘア。
次に逢う夢が、ひどく楽しい夢でありますように……。"	"Nightmare or sweet dream, all comes to an end in the morning. Good night, March Hare. I hope your next dream is ever so fun."	"可～怕的夢也好，快樂的夢也好，只要天一亮就結束了。
晚安了，三月兔。
希望下次再見的夢，會是非常快樂的夢……"	"不论是恶梦还是美梦，天亮后都会结束。
晚安了，三月兔。
愿我们下次相逢在无比快乐的梦中。"
"甘ーい悲劇が幕を開け、死を呼ぶ黒犬、墓場の魔物……
次回　「東京放課後サモナーズ」
「ハロウィンなんてこわくない！」
これは夢、ぜんぶ幻……本当かしら？ うふふふふ"	"The curtain opens on a sweet, sweet tragedy of a grim pup and graveyard magic. Next time, on Tokyo Afterschool Summoners, I Ain't Scared a No Halloween! This is all but a dream... Perhaps. Tee hee."	"甜～蜜蜜的悲劇即將開幕，呼喚死亡的黑犬、墓地的魔物……
下回　「東京放學後召喚師」
「萬聖節才不可怕呢！」
這是場夢、全都是幻想……真的嗎？呵呵呵。"	"甜美的悲剧拉开了帷幕。召唤死亡的黑犬、墓地的魔物……
下期　“东京放学后召唤师”
“万圣节才不可怕呢！”
这是梦，万物皆虚幻……真是如此吗？呵呵呵。"
やぁ、調子はどうかな？　光合成してる？<br>ボクも野菜たちも、とっても元気さっ。だって、おひさまの力はなによりの力だからね。	"Hey, how's it going? My veggies and I are doing great! Nothing like the bright sun to give you a boost of energy. Have you photosynthesized recently?"	"嘿，狀況怎麼樣？在行光合作用嗎？
我跟蔬菜們個個都精神振奮啊。
因為，太陽公公的力量是最厲害的呢。"	"喂，你过得怎么样？做光合作用了吗？
我和蔬菜们都过得很好呢。
因为太阳公公的力量最强大了。"
おだやかでいい天気だね。<br>こういう日は、作物もよく育つんだ。これから一緒に畑の様子を見て回らないかい？	"What nice, calm weather. My creations will be thriving on a day like this. Care to take a stroll around the pumpkin patch with me?"	"溫和平靜的好天氣呢。
這種日子農作物都能好好成長茁壯。
待會要不要跟我一起巡視一下田裡的狀況呢？"	"真是个风和日丽的好日子。
作物在这种天气下会长得很快。
接下来跟我一起去地里看看吧，怎么样？"
ハッピー・ハロウィン！　丹精込めて作ったカボチャたちをご覧あれ。この大きさ、このツヤ。ふふっ、みんな驚くよ！	"Happy Halloween! Take a look at these pumpkins: the result of all my hard work. That size, that luster! Pumpkins like these are sure to impress everyone!"	"萬聖節快樂！
看看我精心照料出來的南瓜們！
看看這大小、這光澤。嘿嘿，儘管吃驚吧！"	"万圣节快乐！
快来看看我精心种的南瓜吧。
这个头，这光泽。嘿嘿，大家一定会大吃一惊的！"
どうかしたのかな？　何か、悩みごと？<br>ボクで良ければ、お話、聞かせてもらえないかな。野菜たちも、みんな君を心配してるよ。	"Are you okay? Is something wrong? You know you can talk to me about it, right? My vegetables are all worried about you too."	"發生了什麼事嗎？有什麼煩惱？
不介意的話，可以跟我說說看嗎？
蔬菜們也很擔心你哦。"	"怎么了？有什么烦心事吗？
如果你不介意，就说给我听听吧。
蔬菜们也都在担心你呢。"
作物たちを、大事に大事に育ててるんだけど、育ちすぎ、元気すぎなことが多くてね……。ボクの愛情が……重すぎたりするのかな？	"I'm raising my masterpieces with the utmost care, but several of them are growing a little too well. Do I... love them too much?"	"對農作物們都是用心、細心地照料，
但好像養過頭的跟過分茁壯的案例變多了……
我的愛……是不是太沉重了？"	"我有很用心地在培育我的作物们，
可它们常常会长得太快、太过精神……
是我的爱……太沉重了吗？"
彼は、ボクの野菜をとても気にいってくれていてね。丁寧に、美味しく、無駄なく調理をしてくれる……。食材への感謝の気持ちって、こういうことだよね。	"He really loves my veggies. He cooks them carefully into delicious dishes, without wasting anything. I guess it's what you'd call being thankful for your food."	"他非常細心對待我的蔬菜呢。
小心翼翼地做出沒有一絲浪費的美味調理……
看得出來他對食材抱持著感謝的心呢。"	"他很喜欢我种的蔬菜，
会很认真地把它们做成好吃的东西，不会有任何浪费……
对食材的感谢，说的就是这种行为吧。"
氷の魔王、不幸の神、すべてに死を与える者……のはずだけど、彼、なんか雰囲気が変わった？　ニコニコ顔で、ボクの野菜を買っていったんだけど……。	"He's supposed to be an icy Dark Lord, a god of misfortune, a bringer of death... but he's changed somehow. He was all smiles when he was buying my veggies."	"冰之魔王、不幸之神、給予一切死亡之人……原本應該是這樣的，
總覺得他給人的感覺變了？
笑咪咪地來買我的蔬菜……"	"他不是那个……冰之魔王、不幸之神、赐万物死亡之人吗，
怎么看上去好像不一样了？
居然笑嘻嘻地买了我的蔬菜……"
え、毛皮のさわりごこちが気になる？<br>あまり触らない方が……ゴワゴワ、してるし。ええ～っ、これがいい？　じゃあ……いいけど……。	"You want to feel my fur? I wouldn't, if I were you. It's all stiff and hard. Really? You want to anyway? If you say so... then I don't mind."	"咦，你很在意毛皮的觸感？
不要一直摸比較好……很粗糙的。
咦咦～你說這樣才好？那……那就好吧……"	"咦？你想知道我的毛皮触感怎么样？
还是别摸了……我的毛硬得很。
什么？硬的才好？那……你就摸吧……"
ずっと研究室に籠りっぱなしだったから、こういう人の多いところは慣れてなくて……。キミはその……こういうところ、平気かい？	"I've always holed myself up in the research lab, so I'm not used to crowded places like this. Are you... okay with crowds?"	"因為我一直窩在研究室，
所以不太習慣這種人多的地方……
你，那個……來這種地方沒關係嗎？"	"我一直都把自己关在研究室里，
所以不习惯这种人多的地方……
你……习惯这种地方吗？"
トリック・オア・トリート！<br>ヴォーロス印のカボチャのスープ、キミも一口、食べてみるかい？	Trick or treat! Would you like to try a spoonful of my famous pumpkin soup?	"不給糖就搗蛋！
沃羅斯牌南瓜湯，
你要不要也嘗一口啊？"	"不给糖就捣蛋！
沃洛斯牌南瓜做的汤，
你也来尝一口吧？"
"……いろいろ、迷惑かけちゃって……ごめんね。
でも、キミやみんなのおかげで、素敵な思い出が出来たこと……
ボク、ずっと忘れないよ。"	"I'm sorry for all the trouble I caused. Still, thanks to all of you, I was able to make it into a fond memory. I'll never forget today."	"……給你添了很多麻煩……真是抱歉。
但是，多虧有你和大家，我獲得了很美好的回憶……
我永遠都不會忘記的哦。"	"……对不起……我给你们添了很多麻烦。
但是，你还有大家给我带来了美好的回忆……
我永远都不会忘记的。"
"万聖節の前夜祭　人混み苦手なボクはこっそり、いつものように過ごすぞう……
うん、そのはずだった……はずなのに！？
次回　「東京放課後サモナーズ」
「ハロウィンなんてこわくない！」
待って～、ボクのかわいいカボチャたち～！"	"All Hallows' Eve, and I'll be spending it the same way I always do: away from the crowds. Or... so I thought! What's happening?! Next time, on Tokyo Afterschool Summoners, I Ain't Scared a No Halloween! Wait for me, my precious pumpkins!"	"萬聖節前夜祭，不敢面對人山人海的我，打算偷偷地像平常一樣過日子……
對，本該如此的……本該如此的說！？
下回　「東京放學後召喚師」
「萬聖節才不可怕呢！」
等等我～我可愛的南瓜們～！"	"万圣节前夜祭  我不喜欢呆在人多地方，
所以打算一个人躲起来，像平时一样度过……然而！？
下期　“东京放学后召唤师”
“万圣夜才不可怕呢！”
等等我啊，我可爱的南瓜们！"
ハッピー・ハロウィン！<br>ほらほら、はやく準備しないとーっ！<br>楽しいお祭りは待ってくれないんだよっ。	"Happy Halloween! Hurry up, you've gotta get ready! There's a party waiting for us!"	"萬聖節快樂！
好啦好啦，快點準備～！
歡樂的祭典可是不等人的哦！"	"万圣节快乐！
快快，得快点做准备！
好玩的庆典可不会等我们啊。"
がおーっ、狼男だぞーっ。<br>……へへっ、驚いた？いつもの自分と違うものになれたみたいで、たまにはこういうのも楽しいよね！	"Awoooo! I'm a werewolf! Hehe, bet you weren't expecting that. It's fun to act like someone completely different every once in a while!"	"吼～狼人來啦！……嘿嘿，有嚇到嗎？
感覺好像跟平常的自己完全不一樣了，
偶爾這樣也蠻有趣的呢！"	"嗷，我是狼人。……嘿嘿，被我吓到了？
感觉自己好像变成了另一个人，
偶尔做做这种事也很好玩呢！"
ボク、お祭りってだーいすきっ！<br>みんな笑顔で、楽しくて、お菓子もたくさんっ！　悲しいことなんかぜーんぶ吹っ飛んじゃうよっ！	"I love parties! Everybody's happy, having fun, and there's candy everywhere! It's like all the sad stuff has been blown away!"	"我最～喜歡祭典了！
大家都笑嘻嘻的、開開心心的，也有好多好多點心！
難過的事情全～都不見蹤影啦！"	"我最喜欢庆典了！
大家都在笑，是那么的开心，还会有很多点心！
心中的悲伤都会随之消失得无影无踪呢！"
どうしたの、何か悲しいことあった？<br>だったら、ボクが横で一緒にいてあげるからね。元気が出たら、お祭りへ行こうっ。約束っ！	"Why do you look so sad? Did something happen? Here, I'll stay with you until you're feeling better. Then we can go to the party together!"	"怎麼了，遇到什麼難過的事情了嗎？
那就讓我在旁邊陪你吧。
等你打起精神，一起去祭典玩吧！約好了哦！"	"你怎么了？有什么难过的事吗？
那我就在你身边陪你吧。
等你打起精神了，我们再去庆典。说好了哦！"
狼男ってかっこいいよね……。強くて、勇敢で、ちょっと危険な感じ。ボクは泣き虫だから…つい憧れちゃうんだっ！	"Werewolves are cool, huh? They're strong and gallant, and kinda dangerous. I'm a crybaby, so I wish I were big and scary like them!"	"狼人好帥氣啊……
堅強又勇敢，再帶點危險的氣息。
因為我是個愛哭鬼……不小心就迷上了呢！"	"狼人真帅……
强大又勇敢，还带给人点危险的感觉。
我是个爱哭鬼……所以很崇拜它的！"
さっき、オニワカさんがいたんだけど、遠くから見てるだけで近づいてこないんだ。も、もしかしてボクの狼男…すっごくこわいっ？	"I saw Oniwaka earlier, but he wouldn't come anywhere near me. He just kept watching from afar. You don't think... he's scared of werewolves, do you?!"	"剛才鬼若還在的，
雖然他都沒有靠過來，只遠遠觀望我們。
難、難道說我扮的狼人……太可怕了嗎？"	"刚才，鬼若先生在这里。
不过他只是在远处看，并没有接近我们。
难、难道是我的狼人……太可怕了？"
すごいこわいミイラ男さんがいたんだよ！大きくって、こわくって、指から火を出すんだ……！　でも……お菓子くれたから、いいひとなのかな？	"I just saw the scariest mummy! He was huge and scary and there was fire coming out of his fingertips! He gave me candy, though, so maybe he's not that bad?"	"有個超可怕的木乃伊男哦！
超巨大又超可怕，手指頭還會冒火……！
可是……既然都給我點心了，應該是個好人吧？"	"我看到了个很可怕的木乃伊男人！
他身材魁梧，面目狰狞，手指还会生出火来……！
不过……他给了我点心，所以是个好人吧？"
がおーっ、たーべちゃうぞーっ！　えへへっ、もこもこして気持ち良いでしょ。<br>わひゃ、くすぐったーい！　やったな、それーっ！	"Awooo, I'll eat you! Hehehe, it feels nice getting petted like that. H-Hey, that tickles! Okay, you asked for it!"	"吼～要把你～吃掉囉～！
嘿嘿嘿，毛茸茸的心情真好。
哇，好癢啊～！很厲害嘛～！"	"嗷，我要吃了你！
嘿嘿嘿，这个毛茸茸的，很舒服吧？
哇，好痒！你居然挠我痒痒，看我的！"
なにをしとるんじゃ若獅子よ、もう祭りはとっくに始まっておる模様。<br>それ行くぞい、付いてまいれーっ！	"What are you doing around here, cub? The party has probably already started. I'm on my way now. Come, follow me!"	"年輕的獅子啊，在做什麼呢？
祭典好像早就開始了。
往那裡前進吧，跟上我啊！"	"幼狮，你在做什么？
庆典早就已经开始了。
我要去看看，你跟我来！"
菓子を作り、稀有な扮装をし、舞台を作る……。皆が、今日という日を精一杯謳歌せんとする。眩しいのう……青春というものは……。	"Today is the day everyone celebrates by making sweets, donning strange costumes, and putting on a play. Ahh, youth. How exquisite."	"製作點心、打扮地稀奇古怪、打造舞台……
每個人都在全心全力謳歌今天這個日子。
所謂的青春……可真耀眼啊……"	"做点心，扮成稀奇古怪的样子，搭舞台……
大家都在尽情享受今天这个日子。
青春这东西……还真是耀眼啊……"
衣装作りは、マリアたちに協力してもろうた。皆と共に準備するのも胸躍るものじゃの！　しかし……この肩のピカピカはなんじゃらほい？	"I had plenty of help making my costume. Getting ready with everyone is half the fun! I do wonder what these sparking contraptions on my shoulders are, though."	"服裝製作是請瑪麗亞她們協助的。
和大家一同準備可不是相當令人雀躍嗎？
不過……在肩上閃閃發光的這個是什麼呀？"	"服装是让玛丽亚她们帮忙一起做的。
和大家一起做准备真是令人兴奋啊！
不过……肩上这闪亮闪亮的东西是什么？"
わっはっは！<br>疲れておるようじゃの、若獅子よ。少し休んだら、今度はワシと人生を楽しもうぞ。さすれば悩みなど吹っ飛んでしまうわい。	"Wahaha! Tired, cub? Rest up a bit, and then we'll go out and enjoy life! All your worries will melt away!"	"哇哈哈，你看起來很累啊，年輕的獅子。
稍微休息一下，接下來就和我一起享受人生吧。
這樣煩惱什麼的都會迎刃而解的。"	"哈哈哈，幼狮，你好像累了啊。
稍作休息，然后和我一起去享受人生吧。
那样，烦恼什么的就会全部烟消云散了。"
元々ワシはこういった祭ごとも好物でな。日常を忘れ、多少羽目を外すのも許容できよう。そんなわけで、トリック・オア・トリートじゃ！	"I used to love parties like these, where you can forget the everyday and let go of all your cares. Speaking of enjoying yourself... Trick or treat!"	"本來我就特別喜歡祭典。
忘卻日常，稍微得意忘形也能被允許。
所以說，不給糖就搗蛋哦！"	"原本我就很喜欢这类的庆典。
能让人忘却日常琐事，也能稍做些疯狂之事。
所以我也来说句，不给糖就捣蛋吧！"
ザバーニーヤの奴にも参加させたが……。加減を知らんのか、子供たちが泣いておるわい。やれやれ、あの生真面目さは筋金入りじゃの。	"I dragged Zabaniyya here with me, but he doesn't know how to relax. He's even making the little cubs cry. That man is serious down to his very bones."	"雖然也讓薩巴利亞那傢伙參加了……
但他抓不住分寸，把孩子們都弄哭啦。
真是的，一本正經成這樣，腦袋該不會是鐵打的吧。"	"我也让萨巴利亚参加了……
可他却不知轻重，害得孩子们都哭了。
唉，那股认真劲还真是雷打不动啊。"
何故このハロウィンパーティに介入してきたかのぉ？　夢見の国、ワンダーランドの少女よ……。というかおぬし、めっちゃ楽しんどらんかぁ？	"Why have you come to intervene in the Halloween party, young dreamer of Wonderland? Actually, you seem like you're quite enjoying yourself."	"為什麼要介入這次萬聖節派對呢？
來自夢境國度，仙境的少女啊……
說起來，你這不是非常開心嗎？"	"来自梦中仙境的少女……
你为什么要干涉这场万圣节派对？
怎么，你好像一副玩得很开心的样子？"
どわっはっはっはっ！　こ、こそばゆい！まーたくすぐりおって！　いたずら者め！ワシだって負けんぞっ、そーれそれそれいっ！	"Wahahahahaha! Th-That tickles! Cut it out, now, you little prankster! Don't think I'll let that pass so easily. Brace yourself, cub. Here I come!"	"哦、哇哈哈哈哈！真癢啊！
又～來搔癢啦！愛惡作劇的傢伙！
我可是不會認輸的，看招～攻擊攻擊！"	"哈哈哈哈哈！痒、痒死我了！
你这个捣蛋鬼！又来挠我痒痒！
我也不会输的，接招吧！"
2019年9月24日に。【復刻】ハロウィンなんてこわくない！（英語版・簡体字版・繁体字版）が公開されます。	"The limited-time event ""I Ain't Scared a No Halloween! (Re-release)"" will begin on September 24! (With English & Chinese Version!)"	自9/24起，期間限定活動「復刻　萬聖節才不可怕呢！」中英文版本正式登場！	自9/24起，期间限定活动“复刻　万圣节才不可怕呢！”中英文版本正式登场！
9/24（火）より、召喚ガチャにて期間限定「復刻・ハロウィン転光召喚」を開催中！	"The limited-time ""Halloween Transient Summon (Re-release)"" will be available on September 24!"	自9/24起，期間限定轉光召喚「復刻　萬聖節轉光召喚」再度登場！	自9/24起，期间限定转光召唤“复刻　万圣节转光召唤”再度登场！
9/24（火）より、イベント地域にて期間限定イベント「ハロウィンなんてこわくない！」を復刻公開中！	"The limited-time event ""I Ain't Scared a No Halloween! (Re-release)"" is now live."	自9/24起，期間限定活動「復刻　萬聖節才不可怕呢！」正式於活動區域登場！	自9/24起，期间限定活动“复刻　万圣节才不可怕呢！”正式于活动区域登场！
変化なし	No change	沒有變化	没有变化
アリス	Alice	愛麗絲	爱丽丝
ヴォーロス	Volos	沃羅斯	沃洛斯
カーシー	Cu Sith	卡西	卡西
アルスラーン	Arsalan	阿爾斯蘭	阿尔斯兰
9/24（火）より、「墓場の魔王」「墓場の魔物」「豊穣の種蒔き人」のスキル進化クエストを公開中！	"New Skill Evolution quests for ""Lord of the Graveyard,"" ""Graveyard Lurker"" and ""Sower of Plenty"" are now available!"	自9/24起，全新「墓地魔王」、「墓地魔物」與「撒下豐饒種子之人」技能進化任務正式開放！	自9/24起，全新“墓地的魔王”、“墓地的怪物”与“播种丰饶之人”技能进化任务正式开放！
10/1（火）より、新宿区地域にてアリスのキャラクエストを公開中！	Alice's character quest is now available in Shinjuku!	自10/1起，全新「愛麗絲」角色任務於新宿區正式登場！	自10/1起，全新“爱丽丝”角色任务于新宿区正式登场！
復刻 ハロウィンなんてこわくない！	I Ain't Scared a No Halloween! (Re-release)	【復刻】萬聖節才不可怕呢！	【复刻】万圣节才不可怕呢！
　[CS＋効果あり]<br>　　CS＋画面にて効果記載	[CS+ Effect]<br>　　Verify CS＋ tab for details	[CS＋特殊效果]<br>　　CS＋畫面內記載效果	[CS＋特殊效果]<br>　　CS＋画面内记载效果
CS性能変化なし	No change to CS effect	必殺技性能沒有變化	必杀技性能没有变化
0	0	0	0
120	120	120	120
490	490	490	490
1480	1480	1480	1480
2940	2940	2940	2940
4900	4900	4900	4900
10000	10000	10000	10000
0	0	0	0
120	120	120	120
490	490	490	490
1480	1480	1480	1480
2940	2940	2940	2940
4900	4900	4900	4900
10000	10000	10000	10000
招来！ハロウィン暴走夜	Trick or Treat! Jiangshi Night	招來！萬聖節暴走之夜	招来！万圣节失控之夜
所持個数：{0}	Possuí: {0}	持有數：{0}	持有个数：{0}
神器Lv {0}	Lv de Artefato {0}	神器等級 {0}	神器等级 {0}
レベル上限：{0}	Max Level：{0}	等級上限：{0}	等级上限：{0}
交換回数：無限	Remaining: No limit	交換次數：無限制	交换次数：无限制
